time [s]	pressure [bar]	temperature [K]	mass [kg]
0.403533	15.727316	2835.451831	0.001087
0.403539	15.732847	2835.737902	0.001088
0.403544	15.738389	2836.024456	0.001088
0.403550	15.743944	2836.311492	0.001088
0.403556	15.749511	2836.599009	0.001089
0.403561	15.755090	2836.887008	0.001089
0.403567	15.760681	2837.175488	0.001089
0.403572	15.766284	2837.464449	0.001089
0.403578	15.771900	2837.753891	0.001090
0.403583	15.777528	2838.043814	0.001090
0.403589	15.783168	2838.334216	0.001090
0.403594	15.788820	2838.625098	0.001090
0.403600	15.794485	2838.916460	0.001091
0.403606	15.800161	2839.208301	0.001091
0.403611	15.805851	2839.500621	0.001091
0.403617	15.811552	2839.793420	0.001092
0.403622	15.817266	2840.086698	0.001092
0.403628	15.822992	2840.380454	0.001092
0.403633	15.828730	2840.674687	0.001092
0.403639	15.834480	2840.969398	0.001093
0.403644	15.840243	2841.264587	0.001093
0.403650	15.846019	2841.560252	0.001093
