time [s]	pressure [bar]	temperature [K]	mass [kg]
0.403072	2.522745	2458.603098	0.000201
0.403078	2.521659	2458.365573	0.000201
0.403083	2.520575	2458.128418	0.000201
0.403089	2.519493	2457.891631	0.000201
0.403094	2.518413	2457.655214	0.000201
0.403100	2.517335	2457.419167	0.000201
0.403106	2.516259	2457.183488	0.000201
0.403111	2.515185	2456.948179	0.000201
0.403117	2.514113	2456.713238	0.000201
0.403122	2.513043	2456.478667	0.000201
0.403128	2.511975	2456.244465	0.000200
0.403133	2.510910	2456.010633	0.000200
0.403139	2.509846	2455.777169	0.000200
0.403144	2.508784	2455.544074	0.000200
0.403150	2.507725	2455.311349	0.000200
0.403156	2.506667	2455.078993	0.000200
0.403161	2.505612	2454.847005	0.000200
0.403167	2.504558	2454.615387	0.000200
0.403172	2.503507	2454.384137	0.000200
0.403178	2.502457	2454.153257	0.000200
0.403183	2.501410	2453.922746	0.000200
0.403189	2.500364	2453.692603	0.000200
0.403194	2.499321	2453.462829	0.000200
0.403200	2.498280	2453.233424	0.000200
0.403206	2.497240	2453.004388	0.000200
0.403211	2.496203	2452.775721	0.000200
0.403217	2.495168	2452.547422	0.000199
0.403222	2.494134	2452.319492	0.000199
0.403228	2.493103	2452.091930	0.000199
0.403233	2.492074	2451.864738	0.000199
0.403239	2.491046	2451.637914	0.000199
0.403244	2.490021	2451.411458	0.000199
0.403250	2.488998	2451.185371	0.000199
0.403256	2.487977	2450.959652	0.000199
0.403261	2.486957	2450.734302	0.000199
0.403267	2.485940	2450.509319	0.000199
0.403272	2.484925	2450.284706	0.000199
0.403278	2.483911	2450.060460	0.000199
0.403283	2.482900	2449.836583	0.000199
0.403289	2.481891	2449.613074	0.000199
0.403294	2.480884	2449.389933	0.000199
0.403300	2.479878	2449.167160	0.000199
0.403306	2.478875	2448.944755	0.000198
0.403311	2.477873	2448.722718	0.000198
0.403317	2.476874	2448.501049	0.000198
0.403322	2.475877	2448.279747	0.000198
0.403328	2.474881	2448.058814	0.000198
0.403333	2.473888	2447.838248	0.000198
0.403339	2.472896	2447.618050	0.000198
0.403344	2.471907	2447.398219	0.000198
0.403350	2.470919	2447.178756	0.000198
0.403356	2.469934	2446.959660	0.000198
0.403361	2.468950	2446.740932	0.000198
0.403367	2.467968	2446.522571	0.000198
0.403372	2.466989	2446.304578	0.000198
0.403378	2.466011	2446.086951	0.000198
0.403383	2.465035	2445.869692	0.000198
0.403389	2.464061	2445.652800	0.000198
0.403394	2.463089	2445.436275	0.000197
0.403400	2.462119	2445.220117	0.000197
0.403406	2.461151	2445.004326	0.000197
0.403411	2.460185	2444.788901	0.000197
0.403417	2.459221	2444.573843	0.000197
0.403422	2.458259	2444.359152	0.000197
0.403428	2.457299	2444.144828	0.000197
0.403433	2.456341	2443.930870	0.000197
0.403439	2.455384	2443.717278	0.000197
0.403444	2.454430	2443.504053	0.000197
0.403450	2.453478	2443.291194	0.000197
0.403456	2.452527	2443.078701	0.000197
0.403461	2.451578	2442.866574	0.000197
0.403467	2.450632	2442.654814	0.000197
0.403472	2.449687	2442.443419	0.000197
0.403478	2.448744	2442.232390	0.000197
0.403483	2.447803	2442.021727	0.000197
0.403489	2.446864	2441.811430	0.000196
0.403494	2.445927	2441.601499	0.000196
0.403500	2.444992	2441.391933	0.000196
0.403506	2.444059	2441.182732	0.000196
0.403511	2.443128	2440.973897	0.000196
0.403517	2.442198	2440.765427	0.000196
0.403522	2.441271	2440.557322	0.000196
0.403528	2.440345	2440.349582	0.000196
0.403533	2.439421	2440.142208	0.000196
0.403539	2.438500	2439.935198	0.000196
0.403544	2.437580	2439.728553	0.000196
0.403550	2.436662	2439.522273	0.000196
0.403556	2.435746	2439.316357	0.000196
0.403561	2.434831	2439.110806	0.000196
0.403567	2.433919	2438.905620	0.000196
0.403572	2.433009	2438.700798	0.000196
0.403578	2.432100	2438.496340	0.000196
0.403583	2.431193	2438.292246	0.000195
0.403589	2.430289	2438.088517	0.000195
0.403594	2.429386	2437.885151	0.000195
0.403600	2.428485	2437.682149	0.000195
0.403606	2.427586	2437.479512	0.000195
0.403611	2.426688	2437.277237	0.000195
0.403617	2.425793	2437.075327	0.000195
0.403622	2.424900	2436.873780	0.000195
0.403628	2.424008	2436.672596	0.000195
0.403633	2.423118	2436.471775	0.000195
0.403639	2.422230	2436.271318	0.000195
0.403644	2.421344	2436.071224	0.000195
0.403650	2.420460	2435.871492	0.000195
